"Liberia", "+231"
"Libya", "+218"
"Liechtenstein", "+423"
"Lithuania ", "+370"
"Luxembourg", "+352"
"Macao", "+853"
"Macedonia Former Yugoslav Rep of.)", "+389"
"Madagascar", "+261"
"Malawi ", "+265"
"Malaysia", "+60"
"Maldives", "+960"
"Mali Republic", "+223"
"Malta", "+356"
"Marshall Islands", "+692"
"Martinique", "+596"
"Mauritania", "+222"
"Mauritius", "+230"
"Mayotte Island", "+269"
"Mexico", "+52"
"Micronesia, Federal States of)", "+691"
"Moldova ", "+373"
"Monaco", "+377"
"Mongolia ", "+976"
"Montenegro", "+382"
"Morocco", "+212"
"Mozambique", "+258"
"Myanmar", "+95"
"Namibia", "+264"
"Nauru", "+674"
"Nepal ", "+977"
"Netherlands", "+31"
"Netherlands Antilles", "+599"
"New Caledonia", "+687"
"New Zealand", "+64"
"Nicaragua", "+505"
"Niger", "+227"
"Nigeria", "+234"
"Niue", "+683"
"Norfolk Island", "+672"
"Norway ", "+47"
"Oman", "+968"
"Pakistan", "+92"
"Palau", "+680"
"Palestinian Settlements", "+970"
"Panama", "+507"
"Papua New Guinea", "+675"
"Paraguay", "+595"
"Peru", "+51"
"Philippines", "+63"
"Poland", "+48"
"Portugal", "+351"
"Qatar", "+974"
"R?union Island", "+262"
"Romania", "+40"
"Russia", "+7"
"Rwandese Republic", "+250"
"St. Helena", "+290"
"St. Pierre & Miquelon", "+508"
"Samoa", "+685"
"San Marino", "+378"
"S?o Tom? and Principe", "+239"
"Saudi Arabia", "+966"
"Senegal ", "+221"
"Serbia", "+381"
"Seychelles Republic", "+248"
"Sierra Leone", "+232"
"Singapore", "+65"
"Slovak Republic", "+421"
"Slovenia ", "+386"
"Solomon Islands", "+677"
"Somali Democratic Republic", "+252"
"South Africa", "+27"
"Spain", "+34"
"Sri Lanka", "+94"
"Sudan", "+249"
"Suriname ", "+597"
"Swaziland", "+268"
"Sweden", "+46"
"Switzerland", "+41"
"Syria", "+963"
"Taiwan", "+886"
"Tajikistan", "+992"
"Tanzania", "+255"
"Thailand", "+66"
"Timor Leste", "+670"
"Togolese Republic", "+228"
"Tokelau", "+690"
"Tonga Islands", "+676"
"Tunisia", "+216"
"Turkey", "+90"
"Turkmenistan ", "+993"
"Tuvalu", "+688"
"Uganda", "+256"
"Ukraine", "+380"
"United Arab Emirates", "+971"
"United Kingdom", "+44"
"United States of America", "+1"
"Universal Personal Telecommunications UPT)", "+878"
"Uruguay", "+598"
"Uzbekistan", "+998"
"Vanuatu", "+678"
"Vatican City", "+39"
"Venezuela", "+58"
"Vietnam", "+84"
"Wake Island", "+808"
"Wallis and Futuna Islands", "+681"
"Yemen", "+967"
"Zambia ", "+260"
"Zanzibar", "+255"
"Zimbabwe ", "+263"
